"","Especie","Long","Lat","BD","colecta","env_group_3"
"1","albilanata",-98.110123,18.246991,"gbif",NA,"Sto_domingo"
"2","albilanata",-97.812778,17.838889,"gbif",NA,"M_conspicua"
"3","albilanata",-99.071996,17.637558,"gbif",NA,"Albilanata"
"4","albilanata",-97.130273,17.335774,"gbif",NA,"Oaxacana"
"5","albilanata",-97.199203,17.693317,"gbif",NA,"Oaxacana"
"6","albilanata",-96.338711,16.561306,"gbif",NA,"Tehuantepec"
"7","albilanata",-96.350351,16.535162,"gbif",NA,"M_meissneri"
"8","albilanata",-97.858769,17.50065,"gbif",NA,"Oaxacana"
"9","albilanata",-96.488845,17.257653,"gbif",NA,"Oaxacana"
"10","albilanata",-96.782398,17.190781,"gbif",NA,"Huauclilla"
"11","albilanata",-97.0775,16.541389,"gbif",NA,"Oaxacana"
"12","albilanata",-96.949806,17.585442,"gbif",NA,"Huauclilla"
"13","albilanata",-96.92516,17.370764,"gbif",NA,"Oaxacana"
"14","albilanata",-99.449637,17.434344,"gbif",NA,"Albilanata"
"15","albilanata",-97.085307,17.469148,"gbif",NA,"Oaxacana"
"16","albilanata",-97.0855,17.462142,"gbif",NA,"Oaxacana"
"17","albilanata",-97.320934,17.725252,"gbif",NA,"Oaxacana"
"18","albilanata",-96.275859,16.866561,"gbif",NA,"Oaxacana"
"19","albilanata",-96.275628,16.86652,"gbif",NA,"Oaxacana"
"20","albilanata",-96.305781,16.859863,"gbif",NA,"Oaxacana"
"21","albilanata",-98.464112,17.868763,"gbif",NA,"Albilanata"
"22","albilanata",-96.490591,17.255614,"gbif",NA,"Oaxacana"
"23","albilanata",-97.531915,17.149796,"gbif",NA,"Oaxacana"
"24","albilanata",-99.497101,18.64901,"gbif",NA,"Albilanata"
"25","albilanata",-98.390343,17.753091,"gbif",NA,"Albilanata"
"26","albilanata",-96.952951,17.588672,"gbif",NA,"Huauclilla"
"27","albilanata",-99.502617,18.657801,"gbif",NA,"Albilanata"
"28","albilanata",-96.984925,16.657309,"gbif",NA,"Oaxacana"
"29","albilanata",-93.114628,16.621148,"gbif",NA,"Tehuantepec"
"30","albilanata",-99.50695,18.666646,"gbif",NA,"Albilanata"
"31","albilanata",-99.517937,18.669898,"gbif",NA,"Albilanata"
"32","albilanata",-99.492187,18.672593,"gbif",NA,"Albilanata"
"33","albilanata",-99.499741,18.694616,"gbif",NA,"Albilanata"
"34","albilanata",-99.510319,18.668412,"gbif",NA,"Albilanata"
"35","albilanata",-97.271806,17.6855,"gbif",NA,"Oaxacana"
"36","albilanata",-97.245097,17.695323,"gbif",NA,"Oaxacana"
