"Especie","Lat","Long","BD","colecta"
"albilanata",18.246991,-98.110123,"gbif",NA
"albilanata",16.702085,-92.636622,"gbif",NA
"albilanata",16.697786,-92.637961,"gbif",NA
"albilanata",17.838889,-97.812778,"gbif",NA
"albilanata",17.637558,-99.071996,"gbif",NA
"albilanata",17.335774,-97.130273,"gbif",NA
"albilanata",17.693317,-97.199203,"gbif",NA
"albilanata",16.561306,-96.338711,"gbif",NA
"albilanata",16.535162,-96.350351,"gbif",NA
"albilanata",17.50065,-97.858769,"gbif",NA
"albilanata",17.257653,-96.488845,"gbif",NA
"albilanata",17.190781,-96.782398,"gbif",NA
"albilanata",17.079132,-96.103081,"gbif",NA
"albilanata",17.082073,-96.108489,"gbif",NA
"albilanata",16.541389,-97.0775,"gbif",NA
"albilanata",16.759479,-92.721631,"gbif",NA
"albilanata",17.585442,-96.949806,"gbif",NA
"albilanata",17.370764,-96.92516,"gbif",NA
"albilanata",17.434344,-99.449637,"gbif",NA
"albilanata",16.539061,-92.440338,"gbif",NA
"albilanata",17.469148,-97.085307,"gbif",NA
"albilanata",17.462142,-97.0855,"gbif",NA
"albilanata",17.725252,-97.320934,"gbif",NA
"albilanata",16.866561,-96.275859,"gbif",NA
"albilanata",16.86652,-96.275628,"gbif",NA
"albilanata",16.859863,-96.305781,"gbif",NA
"albilanata",17.77116,-96.953961,"gbif",NA
"albilanata",16.287869,-92.183225,"gbif",NA
"albilanata",17.868763,-98.464112,"gbif",NA
"albilanata",17.255614,-96.490591,"gbif",NA
"albilanata",16.380506,-92.219733,"gbif",NA
"albilanata",17.149796,-97.531915,"gbif",NA
"albilanata",18.64901,-99.497101,"gbif",NA
"albilanata",16.43524,-92.217865,"gbif",NA
"albilanata",17.662179,-96.931343,"gbif",NA
"albilanata",17.753091,-98.390343,"gbif",NA
"albilanata",17.588672,-96.952951,"gbif",NA
"albilanata",18.657801,-99.502617,"gbif",NA
"albilanata",16.657309,-96.984925,"gbif",NA
"albilanata",16.621148,-93.114628,"gbif",NA
"albilanata",18.666646,-99.50695,"gbif",NA
"albilanata",18.669898,-99.517937,"gbif",NA
"albilanata",18.672593,-99.492187,"gbif",NA
"albilanata",18.694616,-99.499741,"gbif",NA
"albilanata",18.668412,-99.510319,"gbif",NA
"albilanata",17.6855,-97.271806,"gbif",NA
"albilanata",17.695323,-97.245097,"gbif",NA
"albilanata",18.662347,-99.525404,"gbif",NA
"albilanata",16.175843,-92.222464,"gbif",NA
"albilanata",17.5241,-97.981396,"gbif",NA
"albilanata",16.294656,-96.629508,"gbif",NA
"albilanata",17.439065,-96.930951,"gbif",NA
"albilanata",17.484824,-96.940127,"gbif",NA
"albilanata",17.713413,-96.943221,"gbif",NA
"albilanata",18.69738,-99.524924,"gbif",NA
"albilanata",17.70238,-97.944283,"gbif",NA
"albilanata",17.053715,-96.90965,"gbif",NA
"albilanata",18.156291,-97.242737,"gbif",NA
"albilanata",16.66166,-96.10027,"gbif",NA
"albilanata",17.643565,-98.017745,"gbif",NA
"albilanata",17.636128,-98.04599,"gbif",NA
"albilanata",17.949431,-98.041745,"gbif",NA
"albilanata",16.349385,-95.199418,"gbif",NA
"albilanata",17.567528,-96.945556,"gbif",NA
"albilanata",19.550924,-103.926966,"gbif",NA
"albilanata",18.39525,-98.647527,"gbif",NA
"albilanata",18.39328,-98.645552,"gbif",NA
"albilanata",18.394013,-98.645552,"gbif",NA
"albilanata",18.399937,-98.654235,"gbif",NA
"albilanata",17.720646,-97.154975,"gbif",NA
"albilanata",16.65247,-95.015737,"gbif",NA
"albilanata",17.13155,-97.52947,"gbif",NA
"albilanata",17.60772,-96.93347,"gbif",NA
"albilanata",16.841354,-96.746341,"gbif",NA
"albilanata",16.83638,-96.36525,"gbif",NA
"albilanata",16.233333,-96.516667,"gbif",NA
"albilanata",17.6,-96.566667,"gbif",NA
"albilanata",16.383333,-96.466667,"gbif",NA
"albilanata",17.333333,-98.05,"gbif",NA
"albilanata",17.3,-96.8,"gbif",NA
"albilanata",16.75,-93.533333,"gbif",NA
"albilanata",16.666667,-96.3,"gbif",NA
"albilanata",17.325,-96.52861,"gbif",NA
"albilanata",16.476667,-96.21666,"gbif",NA
"albilanata",19.316666,-103.9,"gbif",NA
"albilanata",16.383333,-96.433333,"gbif",NA
"haageana",18.981543,-98.046127,"gbif",NA
"haageana",18.327069,-97.457917,"gbif",NA
"haageana",18.327197,-97.457418,"gbif",NA
"haageana",18.327124,-97.457803,"gbif",NA
"haageana",18.328593,-97.457661,"gbif",NA
"haageana",18.332275,-97.457864,"gbif",NA
"haageana",18.326932,-97.458287,"gbif",NA
"haageana",18.327194,-97.457273,"gbif",NA
"haageana",18.327215,-97.459866,"gbif",NA
"haageana",18.33,-97.457753,"gbif",NA
"haageana",18.330502,-97.46907,"gbif",NA
"haageana",18.327191,-97.460334,"gbif",NA
"haageana",18.327195,-97.460287,"gbif",NA
"haageana",18.327171,-97.45946,"gbif",NA
"haageana",18.326905,-97.455853,"gbif",NA
"haageana",18.326874,-97.455858,"gbif",NA
"haageana",18.326912,-97.45595,"gbif",NA
"haageana",18.330587,-97.458593,"gbif",NA
"haageana",18.327015,-97.456223,"gbif",NA
"haageana",18.3306,-97.456582,"gbif",NA
"haageana",18.330812,-97.458648,"gbif",NA
"haageana",18.327216,-97.459746,"gbif",NA
"haageana",18.327152,-97.456861,"gbif",NA
"haageana",18.327099,-97.456645,"gbif",NA
"haageana",17.856039,-97.323871,"gbif",NA
"haageana",18.326987,-97.460651,"gbif",NA
"haageana",19.441345,-97.2769,"gbif",NA
"haageana",19.514548,-97.428999,"gbif",NA
"haageana",19.508733,-97.43763,"gbif",NA
"haageana",18.333679,-97.462072,"gbif",NA
"haageana",18.87978,-98.165634,"gbif",NA
"haageana",16.604153,-96.893414,"gbif",NA
"haageana",18.528913,-97.318825,"gbif",NA
"haageana",18.954221,-98.017461,"gbif",NA
"haageana",18.903909,-98.315141,"gbif",NA
"haageana",18.3311,-97.469383,"gbif",NA
"haageana",19.502476,-97.445507,"gbif",NA
"haageana",17.707729,-97.319549,"gbif",NA
"haageana",19.394898,-97.487359,"gbif",NA
"haageana",19.352218,-97.450701,"gbif",NA
"haageana",18.896915,-98.311958,"gbif",NA
"haageana",17.853157,-97.356222,"gbif",NA
"haageana",18.880166,-97.970883,"gbif",NA
"haageana",18.893499,-97.886383,"gbif",NA
"haageana",18.274145,-97.549863,"gbif",NA
"haageana",18.890706,-97.902766,"gbif",NA
"haageana",18.884512,-97.691819,"gbif",NA
"haageana",18.329069,-97.475706,"gbif",NA
"haageana",18.943288,-97.418128,"gbif",NA
"haageana",18.599085,-98.06823,"gbif",NA
"haageana",18.319358,-97.605453,"gbif",NA
"haageana",18.870261,-97.977603,"gbif",NA
"haageana",18.871236,-97.977775,"gbif",NA
"haageana",18.970745,-98.015971,"gbif",NA
"haageana",18.989151,-98.018837,"gbif",NA
"haageana",18.970615,-98.016005,"gbif",NA
"haageana",18.960379,-98.014137,"gbif",NA
"haageana",18.959445,-98.015728,"gbif",NA
"haageana",18.308653,-97.616505,"gbif",NA
"haageana",18.884061,-97.910203,"gbif",NA
"haageana",18.893964,-97.886873,"gbif",NA
"haageana",18.88268,-97.909431,"gbif",NA
"haageana",18.393919,-97.414092,"gbif",NA
"haageana",18.973437,-98.025461,"gbif",NA
"haageana",18.333444,-97.517825,"gbif",NA
"haageana",18.590297,-97.912332,"gbif",NA
"haageana",18.331358,-97.466026,"gbif",NA
"haageana",18.864068,-97.975582,"gbif",NA
"haageana",18.912886,-98.313386,"gbif",NA
"haageana",18.432794,-97.613554,"gbif",NA
"haageana",18.432143,-97.615614,"gbif",NA
"haageana",17.85249,-97.1851,"gbif",NA
"haageana",19.33851,-97.453603,"gbif",NA
