"rowname","Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","prub","env_group","env_group_2","env_group_3"
"1","albilanata",-98.110123,18.246991,"gbif",NA,223,171,69,2021,341,95,246,236,194,246,194,720,169,3,98,404,12,260,18,3.07146199795814,-2.54885669358762,-1.84115588264836,-0.223835210727967,-0.67816798865885,-0.351527454727252,0.0958833426123444,-0.0191653297141369,-0.180141197343356,-0.16170748795849,-0.103012196842442,0.0775981312325765,0.0300810165802897,-0.0490726209974267,0.0147426235451589,-0.0900057161571082,0.0371819293988685,-0.0432106582262747,0.0122720832547287,"Sto_domingo","Sto_domingo","Sto_domingo","Sto_domingo"
"4","albilanata",-97.812778,17.838889,"gbif",NA,182,174,71,1784,298,53,245,194,158,203,157,748,183,4,97,405,18,280,22,-0.520810150182502,-1.52082588416561,-1.93060123792412,0.455851282119673,0.235811945048583,-0.17267146082681,-0.65324495241918,0.00881271477870963,-0.145853784625754,-0.0113302577614823,-0.0201615134591677,0.0915423430666479,0.0308885424929209,-0.152362122296082,-0.0036855547139599,0.0423426000085671,0.023051713915427,-0.00546684014462604,-0.00825605298582713,"Balsas","Balsas","Balsas","M_conspicua"
"5","albilanata",-99.071996,17.637558,"gbif",NA,199,139,71,1069,297,103,194,199,192,213,185,1240,261,2,102,761,21,327,24,-0.29965756663264,-5.43717661907627,3.34924712766023,2.33021095158963,2.29856537567395,0.218296949986761,0.18685689133574,0.222459465369237,-0.592831585321896,0.33484482243364,-0.131800643503428,-0.256572451249791,-0.2467673146658,-0.17514419290017,-0.0491537605948208,0.000462653472917292,0.0227431336293407,-0.0139100931806138,0.00553647754577199,"Albilanata","Albilanata","Albilanata","Albilanata"
"6","albilanata",-97.130273,17.335774,"gbif",NA,164,167,72,1361,277,47,230,170,145,180,144,663,147,4,90,364,17,251,22,-1.98432280473497,0.0246732564714462,-0.608466058391425,1.67052062514204,0.553777886015521,0.425188020325808,0.218429434373621,-0.433903239348752,0.179669806156838,-0.00468932586141241,0.0407771812028218,-0.0625891001926785,0.0178306429031445,-0.0897402582340013,0.0397363994637608,-0.0400993730495501,-0.0190280837386913,3.90367512786783e-05,0.01115764030826,"unknown","Oaxacana","Oaxacana","Oaxacana"
"7","albilanata",-97.199203,17.693317,"gbif",NA,147,161,70,1490,260,32,228,154,127,165,126,767,163,6,87,411,26,270,40,-3.71162053736293,-0.143570509848146,0.0523822218448899,-0.247699846951047,0.809347561211639,0.313164247088545,0.0939067064591662,0.0675237397939885,0.404761983899265,-0.106359809597797,0.0239007348118065,-0.0300735338567684,0.0270258801192269,-0.0939653888648899,0.0937294153630767,-0.0756540016711218,-0.0225599921894093,-0.0212002586910365,-0.0077178196413957,"unknown","Oaxacana","Oaxacana","Oaxacana"
"8","albilanata",-96.338711,16.561306,"gbif",NA,221,148,68,1714,325,108,217,232,197,241,197,566,126,1,97,325,7,204,10,3.92739065317293,-0.722274836641813,0.824262529258667,0.580195651907985,0.246894356167435,0.0132041922492304,0.878983706710026,-0.279605307865924,0.161362140171149,0.0889544113156169,-0.0658182765299313,0.0431195188422548,-0.0940825105125306,0.102494340020347,-0.0353693281798634,-0.0359594618893575,0.132560281505441,-0.0464678388517399,0.00414150113889452,"unknown","Tehuantepec","Tehuantepec","Tehuantepec"
"9","albilanata",-96.350351,16.535162,"gbif",NA,198,139,68,1586,297,93,204,207,177,217,175,498,122,3,98,288,10,189,11,2.34435854161445,0.554909330239529,2.04160749646411,0.491324388483327,0.81822467205562,0.136765859511993,0.265381648474783,-0.602129442432873,0.204673339497546,0.178933530744865,0.0499837758019863,0.0205405532899183,-0.0288498404755699,0.0890934415520563,-0.0685455800645154,-0.086747566563729,0.108752134326235,0.019583982913425,0.0169184710609559,"unknown","Tehuantepec","Tehuantepec","M_meissneri"
"10","albilanata",-97.858769,17.50065,"gbif",NA,169,177,73,1463,282,42,240,178,148,186,148,935,197,6,93,520,30,317,30,-3.06959291979534,-2.50837611187965,-1.32892410802771,1.22179869545487,-0.0467642112531886,0.220708591589516,-0.545981174247002,-0.0431654609022666,-0.307511335440581,0.322280563996401,-0.318589364808525,-0.154981303715264,-0.162837584263305,-0.0679236912661438,-0.0411375664711646,0.0886110588910265,0.0390596540758178,-0.0260182451472204,0.00172904846420081,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"11","albilanata",-96.488845,17.257653,"gbif",NA,155,135,71,1261,248,60,188,160,148,170,137,921,172,11,83,484,38,266,71,-4.69713766223154,-1.43892837344218,4.39313404090893,-0.443112246268066,-0.715224529594945,0.788273475505711,0.125886976494865,0.504867089947442,1.00344040102916,-0.558581258528767,0.136097447675498,-0.0287931557818755,0.190292146024838,0.145220464664907,-0.0806621397128807,0.141199760078617,0.0169053146088922,0.0743352812172935,0.000546563715553325,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"12","albilanata",-96.782398,17.190781,"gbif",NA,193,157,68,1726,303,75,228,199,180,213,168,669,144,2,94,359,12,238,19,1.32559534235235,-0.638529390787888,-0.156768513009849,-0.0699028062593747,0.78572008185035,-0.0415345145756748,0.62839147788567,-0.109187679414256,0.268500883948127,0.00459431158826293,0.0175557289903175,-0.167713584046184,-0.0635124048263301,-0.233059552679693,0.0168538843511498,0.15917935724925,-0.0599512115252589,0.0749849777937305,0.0123097135759984,"Huauclilla","Huauclilla","Huauclilla","Huauclilla"
