"Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","env_group_3","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"albilanata",-98.110123,18.246991,"gbif",NA,223,171,69,2021,341,95,246,236,194,246,194,720,169,3,98,404,12,260,18,"Sto_domingo",3.34490693322189,-2.55954458858646,-1.80446111758324,-0.364981139750915,0.665742627900205,0.597947510434107,0.351919544541694,-0.204259610680713,0.388280506417181,-0.112841079547089,0.11023672675366,0.150034643031653,0.00272191043112752,0.0769948507732362,-0.106263758739597,0.0567978745877945,-0.00730583164354893,0.0177960736662029,0.0144690989350901
"albilanata",-97.812778,17.838889,"gbif",NA,182,174,71,1784,298,53,245,194,158,203,157,748,183,4,97,405,18,280,22,"M_conspicua",-0.543312871506196,-2.04781646719207,-1.87071373426043,0.371736971038719,0.0784750790110398,0.435331663872554,-0.509221802890662,0.404412262072155,0.167423119397975,0.0837816608684303,0.0150012695524072,0.125635808958436,0.00934857454331316,0.154280292814635,-0.0156021937278611,-0.0614951145057505,0.0259515524480486,-0.0232922761106429,-0.00930954940522333
"albilanata",-99.071996,17.637558,"gbif",NA,199,139,71,1069,297,103,194,199,192,213,185,1240,261,2,102,761,21,327,24,"Albilanata",0.172116116195954,-5.89020843512135,3.73485289907966,3.06961179166278,-2.40689792646973,-0.677051147910461,-0.105659901653902,0.538510425633689,0.392311307583356,0.545537080817847,0.0053552149954644,-0.3080818785949,-0.293916623664123,0.170345821739479,0.00251632405754584,-0.0289977301913112,-0.0262824840531945,0.0485563439866677,-0.00176880504782027
"albilanata",-97.130273,17.335774,"gbif",NA,164,167,72,1361,277,47,230,170,145,180,144,663,147,4,90,364,17,251,22,"Oaxacana",-2.20039477068605,-0.478608495792851,-0.611359312769852,1.84707877019398,-0.352230950501867,-0.346166499478352,-0.243668107564962,-0.47592258464989,-0.348417788606267,-0.0254556546052107,-0.0336552380715795,-0.0485529098902349,0.0103130690903888,0.0707789296899289,-0.0330179105551882,-0.0173398547977507,-0.0287983951322034,-0.0184089957024419,0.00798762626520366
"albilanata",-97.199203,17.693317,"gbif",NA,147,161,70,1490,260,32,228,154,127,165,126,767,163,6,87,411,26,270,40,"Oaxacana",-4.14727914970466,-1.05176140636241,0.474579362971044,-0.32507391278336,-0.322484630378878,-0.288756823720349,0.00295455921035803,0.20717600013549,-0.60669618090905,-0.183956462475838,0.0226076262975574,-0.0432992297776017,0.0713308527216207,0.0438393849960575,-0.0996125824670971,-0.0360462861971513,-0.0559734069886728,0.0157702625339875,-0.00993565519098789
"albilanata",-96.338711,16.561306,"gbif",NA,221,148,68,1714,325,108,217,232,197,241,197,566,126,1,97,325,7,204,10,"Tehuantepec",4.23004265796292,-0.222024093243482,0.666122259144713,0.772547735745051,-0.722608378075161,-0.229743344690267,0.685997097525012,-0.765882217612584,-0.144014451684715,0.0223201642432831,0.0471054173283901,0.0482867181271138,-0.103964557742082,-0.0667921100894979,-0.0131520865836768,0.0769780110253197,0.11812629117917,0.0502865442388728,-0.00036193430203529
"albilanata",-96.350351,16.535162,"gbif",NA,198,139,68,1586,297,93,204,207,177,217,175,498,122,3,98,288,10,189,11,"M_meissneri",2.43393308604224,0.982494236994841,1.99467085462446,0.709231798062105,-1.11794126164265,-0.210281905657272,-0.210997562958765,-0.662708167410585,-0.313008216520076,0.104387978099885,-0.0855441175623485,-0.0432021722934816,-0.0121376849101827,-0.0807667620113495,-0.00256267318003824,0.129209469893025,0.0875899090926925,0.00031912303432385,0.0116482239543409
"albilanata",-97.858769,17.50065,"gbif",NA,169,177,73,1463,282,42,240,178,148,186,148,935,197,6,93,520,30,317,30,"Oaxacana",-3.29671770748353,-3.49121826926485,-0.940069087969851,1.27494873515431,0.721949785172723,0.1901214840796,-0.541909434219219,0.349528253617295,0.209752983623832,0.696803558246971,0.271014483207174,-0.0502929412695268,-0.225514030487816,0.0945583436728504,0.0252411190285412,-0.0635519228514894,0.0544112311452816,0.010702025380506,0.00200991099678334
"albilanata",-96.488845,17.257653,"gbif",NA,155,135,71,1261,248,60,188,160,148,170,137,921,172,11,83,484,38,266,71,"Oaxacana",-5.3663677066847,-2.34623673190372,5.62128271930005,-0.319716706920177,1.68873937697735,-0.254543720736746,0.505315210866396,0.629113906291816,-1.12643493919573,-0.894347623164498,-0.108451504285085,-0.145622805002622,0.38741646268751,-0.30988621184858,0.141583165812213,-0.140447016413064,0.104520119205408,-0.0514862916649206,-0.00668283858670549
"albilanata",-96.782398,17.190781,"gbif",NA,193,157,68,1726,303,75,228,199,180,213,168,669,144,2,94,359,12,238,19,"Huauclilla",1.41946300099708,-0.711852476206106,-0.181565709810638,-0.0568369079777598,-0.994040507575968,-0.18858727114346,0.507192914443736,-0.368428805503828,-0.303987738155939,-0.0909996888370111,-0.00373727230931121,-0.161516587312105,-0.116090949582034,0.241440740569297,0.144638420908689,-0.111774978488062,-0.0143721972959558,-0.0945117350337932,0.00707211995979427
